ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"TRUE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" CustomFormatter=\"\" EnforceUniqueValues=\"TRUE\" Indexed=\"TRUE\" />","<Field Type=\"Choice\" DisplayName=\"Platform\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" Format=\"Dropdown\" FillInChoice=\"TRUE\" StaticName=\"field_1\" Name=\"field_1\" ID=\"{6ee51ccb-ff18-4ca2-928c-9eb794dfa8af}\"><CHOICES /></Field>","<Field Type=\"Choice\" DisplayName=\"Version Found\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" Format=\"Dropdown\" FillInChoice=\"TRUE\" StaticName=\"field_2\" Name=\"field_2\" ID=\"{c08685f2-380a-42ca-8d8d-1750a05bbc96}\"><CHOICES /></Field>","<Field Type=\"Text\" DisplayName=\"Build Fixed\" Name=\"field_3\" ID=\"{4a0b6493-947c-408d-b1eb-e21472d65bcf}\" StaticName=\"field_3\" />","<Field Type=\"Choice\" DisplayName=\"Functionality\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" Format=\"Dropdown\" FillInChoice=\"TRUE\" StaticName=\"field_4\" Name=\"field_4\" ID=\"{94fc4227-92d7-49a8-97a2-6f87708cae9e}\"><CHOICES /></Field>","<Field ID=\"{4ee09c9c-567b-4bb6-b399-ae40e1afd982}\" DisplayName=\"Issue Title\" Name=\"field_5\" StaticName=\"field_5\" Type=\"Note\" />","<Field ID=\"{820545f3-5000-4335-9c69-9e6885a1aa5c}\" DisplayName=\"Summary\" Name=\"field_6\" StaticName=\"field_6\" Type=\"Note\" />","<Field ID=\"{28cf69c5-fa48-462a-b5cd-27b6f9d2bd5f}\" ReadOnly=\"TRUE\" Type=\"DateTime\" Name=\"Modified\" DisplayName=\"Modified\" StorageTZ=\"TRUE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Modified\" FromBaseType=\"TRUE\" Indexed=\"TRUE\" AutoIndexed=\"TRUE\" />","<Field AppendOnly=\"FALSE\" Description=\"Internal Comment field&#xA;Can place case links, notes or further info about JIRA/SCR here\" DisplayName=\"Internal Comments\" Format=\"Dropdown\" IsModern=\"TRUE\" IsolateStyles=\"FALSE\" Name=\"InternalComments\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Internal Comments\" Type=\"Note\" ID=\"{90423312-42b4-4997-8b72-f46231360718}\" StaticName=\"InternalComments\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Ticket\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Title","Platform","Version Found","Build Fixed","Functionality","Issue Title","Summary","Internal Comments"
"HC-217732","Unknown",,"25.1.6.1000","Medical Records","Bug fix for cleaning up extra database entries related to re-submitted completed deficiencies","An issue has been resolved that prevented the cleanup of database entries related to deficiencies that were completed by Physicians and then re-submitted by Analysts. These entries are extra rows used to track the initial completion by the Physician. With this fix, these rows will now be properly cleaned up when the re-submitted deficiency is completed.",
"OE-91","Unknown",,"25.1.6.1000","Notes/Annotations - Unity","Freehand annotations created in the Unity Client print at the correct size in the Web Client.","Addressed an issue that caused Freehand annotations to be printed at the incorrect size in the Web Client. Previously, Freehand annotations created in the Unity Client would print at a smaller size in the Web Client.",
"HC-217811","Unknown",,"25.1.6.1000","OnBase Patient Window","Updates to the Context Menu button in the Patient Window","The issue preventing the context menu graphic from displaying has been resolved.  The ellipses that represent this button will now appear as expected when viewing e-forms from the tabbed view of Patient Window.

The context menu will no longer display above e-forms when viewing corrections forms in the split viewer.",
"NILE-4114","Unknown",,"25.1.6.1000","StatusView","Addressed issue(s) with saving the Workflow Summary portlet charts in Web Client StatusView","Resolved an issue where the charts created in the WorkView Summary portlets were not saved by clicking the Save button in the Chart Viewer window. With this fix, users are now able to save the charts. ",
"SBPWC-11062","Unknown",,"25.1.6.1000","WorkView","Sequence number uniqueness Enforcement in WorkView Item Generation.","This update resolves the issue where duplicate sequence numbers were being generated during concurrent executions of Item Generators in OnBase Studio. The SequenceDataAccess class has been updated to enforce the uniqueness of sequence numbers, ensuring reliable attribute value generation even when multiple Studio instances are run simultaneously. This change enhances data integrity for WorkView applications that rely on WorkView Sequences for auto-generated attribute values.",
"OE-80","Unknown",,"25.1.5.1000","Core Services - Rendering","Resolved an issue with Line, Arrow, Ellipse, and Freehand annotations printing incorrectly in the Web Client. ","Line, Arrow, Ellipse, and Freehand annotations now print the same way that they are rendered in the Web Client.",
"REN-2888","Unknown",,"25.1.5.1000","Core Services - Rendering","Resolved an issue with the ""Always Print"" configuration not being respected","The Web Client respects the ""Always Print"" configuration when printing a Line annotation on an Image Rendered PDF.",
"CO-7","Unknown",,"25.1.5.1000","Document Imaging","If rotate right is changed during document review the changed should carried over both in document separation and Indexing.","If rotate right is changed during document review the changed should carried over both in document separation and Indexing.",
"CO-282","Unknown",,"25.1.5.1000","Document Imaging","CPD Scan Queue Batches should change status when the last unindexed document is deleted","The CPD Scan Queue Batches would get stuck on the same status when the last document to be indexed got deleted, when the status should change according to the current batch state.",
"CO-269","Unknown",,"25.1.5.1000","Document Imaging","All pages of the PCL files are properly displayed.","Only the first page of the PCL files was displayed with no issues. The rest of the pages were rendered with some errors. No page is corrupted when it's displayed on the OnBase Client.",
"CO-86","Unknown",,"25.1.5.1000","Document Imaging","Addressed issue(s) OnBase Client bypass for over-sized images when performing Image Processing: Auto-Detect Orientation","Fixed OnBase Client bypass for over-sized images when performing Image Processing: Auto-Detect Orientation",
"PACK-14192","Unknown",,"25.1.5.1000","Document Packaging","Document Packaging Performance has been improved ","Slow performance in Document Packaging and the turnaround time for Optimizing Document Package was fixed.",
"CO-268","Unknown",,"25.1.5.1000","EDI Processor","This ticket has fixed critical platter management error while trying to process large EDI documents. Now large EDI Files process without error.","This ticket has fixed critical platter management error while trying to process large EDI documents. Now large EDI Files process without error.",
"QC-5661","Unknown",,"25.1.5.1000","Folders and File Cabinets","Fixed the issue of document not getting opened when the first document within a folder in the Web Client is selected","Resolved the issue of opening the first selected document within a folder in Web Client, with the 'Do Not Automatically Display First Document' enabled.",
"HC-217297","Unknown",,"25.1.5.1000","Form Packet Manager","Fixed an issue with double-clicking forms in Healthcare Form Manager","Fixed an issue where Healthcare Form Manager would display an assigned form in read-only mode if the user double-clicked it from the list. Now users can single-click or double-click to open and edit an assigned form.",
"CO-215","Unknown",,"25.1.5.1000","Full Page OCR","OCR is able to process all valid image documents without failing regardless of OCR Format settings","OCR is able to process all valid image documents without failing regardless of OCR Format settings",
"API-5930","Unknown",,"25.1.5.1000","OnBase Studio Foundation","Bug fixing in import assembly","Once an assembly has been replaced and is set to inactive (assemblystatus=1), it should not be queried when looking for dependencies during the importing of an assembly. Required changes are made to look for the active one so that the error does not occur.",
"CSFPR-8899","Unknown",,"25.1.5.1000","Printing","User can draw freehand annotation in the corner of documents without messing up the annotation.","Fix of an issue with freehand annotations in the corner of documents.",
