ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"TRUE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" CustomFormatter=\"\" EnforceUniqueValues=\"TRUE\" Indexed=\"TRUE\" />","<Field Type=\"Choice\" DisplayName=\"Platform\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" Format=\"Dropdown\" FillInChoice=\"TRUE\" StaticName=\"field_1\" Name=\"field_1\" ID=\"{6ee51ccb-ff18-4ca2-928c-9eb794dfa8af}\"><CHOICES /></Field>","<Field Type=\"Choice\" DisplayName=\"Version Found\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" Format=\"Dropdown\" FillInChoice=\"TRUE\" StaticName=\"field_2\" Name=\"field_2\" ID=\"{c08685f2-380a-42ca-8d8d-1750a05bbc96}\"><CHOICES /></Field>","<Field Type=\"Text\" DisplayName=\"Build Fixed\" Name=\"field_3\" ID=\"{4a0b6493-947c-408d-b1eb-e21472d65bcf}\" StaticName=\"field_3\" />","<Field Type=\"Choice\" DisplayName=\"Functionality\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" Format=\"Dropdown\" FillInChoice=\"TRUE\" StaticName=\"field_4\" Name=\"field_4\" ID=\"{94fc4227-92d7-49a8-97a2-6f87708cae9e}\"><CHOICES /></Field>","<Field ID=\"{4ee09c9c-567b-4bb6-b399-ae40e1afd982}\" DisplayName=\"Issue Title\" Name=\"field_5\" StaticName=\"field_5\" Type=\"Note\" />","<Field ID=\"{820545f3-5000-4335-9c69-9e6885a1aa5c}\" DisplayName=\"Summary\" Name=\"field_6\" StaticName=\"field_6\" Type=\"Note\" />","<Field ID=\"{28cf69c5-fa48-462a-b5cd-27b6f9d2bd5f}\" ReadOnly=\"TRUE\" Type=\"DateTime\" Name=\"Modified\" DisplayName=\"Modified\" StorageTZ=\"TRUE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Modified\" FromBaseType=\"TRUE\" Indexed=\"TRUE\" AutoIndexed=\"TRUE\" />","<Field AppendOnly=\"FALSE\" Description=\"Internal Comment field&#xA;Can place case links, notes or further info about JIRA/SCR here\" DisplayName=\"Internal Comments\" Format=\"Dropdown\" IsModern=\"TRUE\" IsolateStyles=\"FALSE\" Name=\"InternalComments\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Internal Comments\" Type=\"Note\" ID=\"{90423312-42b4-4997-8b72-f46231360718}\" StaticName=\"InternalComments\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Ticket\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Title","Platform","Version Found","Build Fixed","Functionality","Issue Title","Summary","Internal Comments"
"SBPOF-6887","Unknown",,"24.1.14.1000","Unity Forms","Fixed an issue for cascading dataset when unity forms fails to populate child values of a cascading dataset.","Fixed an issue for cascading dataset when unity forms fails to populate child values of a cascading dataset.

User should be able to see the fetched cascading value for parent and its child dataset when added as a field in unity form",
"CCT-3248","Unknown",,"24.1.13.1000","Document Distribution","Fixed: Customer keywords, and Distribution Options weren't saved while creating new recipient","While creating new recipients, Customer keywords, and Distribution Options are now getting saved (or getting saved as blank/null).",
"DIAN-2037","Unknown",,"24.1.13.1000","Full-Text Search","Resolved a condition where creating a rendition of a document does not set the Full-Text status correctly.","When a document is in a committed scan queue, creating a rendition of the document could set the Full Text status incorrectly. This can cause the new rendition to not be processed by Full-Text. This has been resolved and the correct status is now set, allowing renditions to be processed.",
"GISI-748","Unknown",,"24.1.13.1000","Integration for ESRI","Corrected an issue with OnBase Feature Layers not loading in ESRI ""New"" Map Viewer.","OnBase Feature Layers were able to be displayed in maps using the ESRI Map Viewer Classic.  When using the “New” Map Viewer from ESRI,  the OnBase feature Layers would not display on those maps.  We have addressed the issue and OnBase feature layers will now display in the New Map Viewer.",
"OUTI-230","Unknown",,"24.1.13.1000","Integration for Microsoft Outlook","Corrected an issue running Unity scripts during importing in the Outlook integration","An issue occurred when running Unity scripts during import in the Outlook integration. This has been corrected and import scripts now function as expected. ",
"SBPOF-6804","Unknown",,"24.1.13.1000","Unity Forms","When opening a shared Form, user is no longer prompted to enter Windows authentication.","Popup for Windows authentication no longer appears appear when opening shared Form URL.",
"SBPPA-13116","Unknown",,"24.1.13.1000","Workflow Approval Management","Addressed issue(s) with the scrollbar in Workflow within Unity Client","Resolved an issue where the scrollbar was not displayed when there were more approval paths than what could fit within the Unity Client window. With this fix, users are now be able to scroll through the entire list of approval path within Unity client.",
"SBPWC-10453","Unknown",,"24.1.13.1000","WorkView","FIXED: Configuring Workflow requires WorkView Configuration Rights","Fixed an issue that required administrators to have WorkView configuration rights in order to configure Workflow. 

Before the change, Administrators configuring Workflows without having WorkView configuring rights, may be able to create a new Workflow actions, but the properties for the action may come up blank. They may also encounter an message 'User does not have the necessary client privileges' when saving. ",
"SBPWC-10738","Unknown",,"24.1.13.1000","WorkView","Partial purging does not create data integrity in Oracle anymore","Partial purging successfully rolls back all related table data if the purge operation is cancelled.",
"HC-214121","Unknown",,"24.1.12.4","Release of Information","Resolved a performance issue related to saving a Release of Information request","A performance issue related to saving a Release of Information request has been resolved. This specific issue was more apparent when saving ROI Requests that contained a large amount of documents.",
"HC-212625","Unknown",,"24.1.12.1000","Healthcare Web Viewer","Resolved issue with the Document Corrections form not displaying in some environments. ","When clicking Add Corrections in the Healthcare Web Viewer integrated with Epic, the Document Corrections form will be displayed alongside the document being viewed. Prior to this fix, in some environments, the form would not display due to environmental factors which could indicate to the Healthcare Web Viewer it was being viewed on a touch screen device (even if it was not a touch screen device). This would cause the Healthcare Web Viewer to incorrectly hide the Document Corrections form.",
"HC-214582","Unknown",,"24.1.12.1000","HL7","Resolved issue with the EDI HL7 Processor failing to process some HL7 messages in flat files.","An issue was discovered which could cause the EDI Processor to fail to process specific HL7 messages due to issues with the buffer. The buffer was improved to better parse HL7 messages and resolve the issues causing the messages to fail.",
"SBPPA-13091","Unknown",,"24.1.12.1000","Workflow","Resolved an issue against date & time keyword within a workflow ","Resolved an issue against date & time keyword within a workflow not inheriting keywords when Import Ad-Hoc is used where server and client had different culture. ",
"CSFMD-9851","Unknown",,"24.1.11.1000","AutoFill Keysets","Addressed AFKS using Workview Filter issues ","AutoFill query is executed twice when expanding an AutoFill against a WorkView Filter, this issue has been addressed and resolved.",
"HC-212332","Unknown",,"24.1.11.1000","HL7","The HL7 Medical Records Chart Processor now correctly stores the first instance of a repeating MRN field.","When processing HL7 messages with repeating fields mapped to MRN Chart Data Field, the HL7 Listener Medical Records Chart Processor will always use the first instance of the repeating field. Prior to this fix, the HL7 Listener was using the first instance of the MRN repeating field to link the chart to, wowever, the last instance of the MRN would be imported as metadata on the chart (medrecnumber in the chart table). Therefore, we had conflicting data in the database, with the chart being linked to a the correct MRN in the database but having different MRN metadata listed on the chart. This software change ensures that the chart is correctly linked to the first instance of an MRN repeating field and that the same MRN is added as metadata to the chart. All other chart data fields (e.g., MPI, CSN, etc.) use the last instance of a repeating field, but the MRN is the exception to this behavior, by design.",
"HC-212633","Unknown",,"24.1.11.1000","HL7","Resolved race condition which could cause HL7 messages to fail to automatically retry when the HL7 Auto Sender encounters a connection issue.","This fix further improves the resiliency of the HL7 Auto Sender when it encounters a connection issue with the Export Destination. The HL7 Auto Sender can now successfully automatically retry a message if the connection was interrupted or closed on the first attempt.",
"CSFMD-9854","Unknown",,"24.1.11.1000","Keywords","Addressed an issue where a Cascading Data Set whose primary keyword has masking configured with ""Extract Mask Characters"" does not display the secondary values in the drop-down in the Web Client","A Cascading Data Set whose primary keyword has masking configured with ""Extract Mask Characters"" now displays the secondary values in the drop-down in the Web Client, and users no longer have to manually fill out the secondary keywords. ",
"HC-212614","Unknown",,"24.1.11.1000","Medical Records","Resolved a performance issue related to Batch Indexing and Release of Information","A performance issue related to Saving and Transitioning batches where the 'Append' action has occurred has been resolved.  This specific issue was experienced by customers who also leveraged Release of Information and the Virtual Print Driver listener to assist in releasing content external to OnBase.",
"NILE-3623","Unknown",,"24.1.11.1000","Pop integration and Docpop","Addressed an issue in the Diagnostic Console when a document is opened from the Revisions/Renditions dialog. ","The user can click on a revision in the Revision/Rendition dialog, and the associated document is correctly displayed. ",
"CSFMD-9857","Unknown",,"24.1.11.1000","Revisions/Renditions/Versions","Addressed an issue where an unclear error message was displayed for a user attempting to access a locked document.","Addressed an issue when one user has a document locked but another user attempts to import a revision of the same document, an incorrect error message is thrown, which causes confusion for the users. Now the error message given out to the user is: ""The Document is locked and cannot be modified. Please try again later.""",
"PACK-13894","Unknown",,"24.1.11.1000","Unity Client",".EML attachment handling in outlook emails has been corrected.","When users retrieve and send an .EML document as an attachment, an Outlook window with the SEND button enabled will appear on the right-hand side, with the native format of the document pre-selected and grayed out. Upon sending the email, the document attached will be sent and delivered as a .eml file (not a .tif file), streamlining the email workflow.",
"SBPOF-6646","Unknown",,"24.1.11.1000","Unity Forms","Resolved the bug where Repeater Section with a custom label throws an error","Resolved an issue where the Repeating Section with a Custom Label throws an error when opening 22.1 form template in a later version.
Users will now be able to open a 22.1 form template in a later version without any exception even if a Repeating Section has a Custom Label.",
"SBPOF-6650","Unknown",,"24.1.11.1000","Unity Forms","Fixed an issue with form creation date inside form designer -> open form template view -> advance -> revisions tab when unity client culture is set to es-co","Fixed an issue with form creation date under open form template view -> advance -> revisions tab when unity client culture is set to es-co.
Instead of showing default date 01/01/0001 user will now be able to view correct form creation date inside forms designer for Spanish culture ",
"CSFMD-9848","Unknown",,"24.1.11.1000","Workflow","Addressed the Workflow autofill execution slowness issue","Improved Workflow autofill execution with enhanced functionality for ""Expand Autofill"" and ""Check Autofill."" Users will now experience improvement in execution time  when expanding selections, and improved validation checks ensure that autofilled data is consistent and reliable. ",
"SBPPA-12845","Unknown",,"24.1.11.1000","Workflow","Fixed an issue where Unity Client displayed an error when there were numerous workflow queues configured to ""Only use selected filters""","Fixed an issue where Unity Client displayed an error when there were numerous workflow queues configured to ""Only use selected filters"" and there were filters assigned exceeding 1000 while using the Oracle database. 
Users will not encounter any exception while using Oracle database having workflow queues that are configured to ""Only use selected filters"" and there are filters count exceeding 1000 .",
"AG-8453","Unknown",,"24.1.10.1000","Agenda Online","Resolved an issue where customized Agenda Online pages may not display in certain scenarios.","An error was thrown when Agenda Online was initializing which caused customized page map files to not be used and the default web pages would instead be used causing confusion. The workaround for this was to reset IIS then the custom pages loaded properly.  This was seen at times when scheduled maintenance was being performed on a Hyland Cloud hosted system.  This has been addressed and if this situation occurs, the user trying to launch the Agenda Online page sees a message in the browser that Agenda Online is not yet initialized and has a link to try again. Trying again will result in a new request which the other load balance appserver should pick up and the proper Agenda Online site pages will display.",
"CSFMD-9614","Unknown",,"24.1.10.1000","Application Server","Addressed an issue with re-indexing documents with Custom File Format.","Users were unable to re-index custom image file format to regular image file format. Now documents can be reconciled to the standard/built-in file format after being imported to a Custom File Format.",
"DIAN-2000","Unknown",,"24.1.10.1000","Full-Text Search","Resolved a condition where documents imported by a COLD process would have incorrect hit highlighting.","Documents containing whitespace compression that are imported into OnBase using a COLD process and indexed with OnBase Full-Text no longer have incorrect hit highlighting. For documents exhibiting this problem, re-indexing the document is necessary.",
"HC-209267","Unknown",,"24.1.10.1000","Healthcare Web Viewer","Viewing cross-references and native PDFs via the Healthcare Web Viewer hosted in DeficiencyPop now work as expected.","When the Healthcare Web Viewer is launched from the DeficiencyPop IIS application, there were issues with viewing cross-references, as well as viewing Native PDFs from the toolbar button. These issues have been resolved and now work as expected when launched via the Epic Hyperdrive SMART on FHIR integration.",
"HC-209361","Unknown",,"24.1.10.1000","HL7","Resolved issues with the HL7 Back-End Job Processor when using multiple services to process jobs concurrently.","We identified and resolved several issues that could cause the HL7 Back-End Job Processor to stop processing jobs when more than one service was configured to process jobs concurrently.",
"OI-339","Unknown",,"24.1.10.1000","Integration for Microsoft Office","Corrected an issue with IdP login when multiple service locations are configured in the Office Business Application configuration files. ","Login via IdP now works correctly when multiple service locations are configured in the Office Business Application configuration files. The login happens automatically when an Office document is opened from the Unity client and the Office Business Applications are installed. The login also happens automatically when an Office document is opened from the Web client and Desktop Host is configured to open the Office Business Applications. ",
"OI-350","Unknown",,"24.1.10.1000","Integration for Microsoft Outlook","Autofill keyword sets are functioning as expected when configured on an auto import folder in Outlook.","An issue was preventing autofill keyword sets from triggering when configured on an auto import folder in Outlook. This has been resolved. ",
"OUTI-224","Unknown",,"24.1.10.1000","Integration for Microsoft Outlook","When an Outlook auto-import folder is configured with a secondary autofill keyword set value where this is only one record, the prompt to select the value no longer appears","A bug has been corrected when an Outlook auto-import folder is configured with a secondary autofill keyword set value where this is only one record. The prompt to select the single value no longer appears. The value is automatically selected, as expected. ",
"HC-205754","Unknown",,"24.1.10.1000","Signature Deficiencies for Epic","Resolved issue with cache files not being cleaned up by the DeficiencyPop for Epic COM Integration.","An issue was identified and resolved with the DeficiencyPop for Epic (DP4E) COM Integration where the WebView2 would continue to grow with each use. After this fix, the WebView2 cache should remain fairly consistent in size rather than continuing to grow. ",
"SBPOF-6594","Unknown",,"24.1.10.1000","Unity Forms","Fixed an issue with unity script which failed to delete repeater row or table row.","User are now able to delete repeater rows or table rows using Unity Script.",
"SBPOF-6616","Unknown",,"24.1.10.1000","Unity Forms","Fixed an issue with open form template dialog which failed to display existing list of template ","Users will now be able to view list of templates when they try to open form template from Open form template dialog.",
"IND-5590","Unknown",,"24.1.10.1000","Web Server","Rectified an issue with moving the Notes/Annotations","Addressed an issue where moving the Notes/Annotations around in a document auto selects the documents.",
"NILE-3624","Unknown",,"24.1.10.1000","Web Server","Addressed an error when Docpop or Web Client is opened within an iFrame. ","The fix ensures that both Classic and Single Window Mode work properly if Docpop or Web Client gets opened within an iFrame (Embedded Application). ",
"AG-1099","Unknown",,"24.1.1.1000","Agenda Manager","fixed an issue where the conditional text wrapper tag was not working when using it with the item summary sheet tag templates","Conditional text wrapper tags can now be used in item summary sheet tag templates",
"AG-8245","Unknown",,"24.1.1.1000","Agenda Manager","Fixed an exception when viewing or editing the ""Create or Update Agenda Item From Document"" workflow action after exporting and importing it into a new system.","The exception displayed on the action was: ""An error occurred while creating the property pages for the selected action or rule."" This made the workflow action un-usable and a whole new action would need to be created or a database update made to the existing action.  This exception has been addressed, and you are now able to view and edit the workflow action and confirm its configuration.",
"UIA-477","Unknown",,"24.1.1.1000","Application Client Connector","Resolved issue where users could not print bar code sheets from the Application Client Connector","Resolved an issue where users were unable to automatically generate bar code sheets using Application Client Connector contexts. Also added support for generating bar code sheets in Chrome, Firefox, and Edge. This fix allows users to print bar code sheets in modern browsers, as expected.",
"RIP-2111","Unknown",,"24.1.1.1000","Application Server","Resolved a condition where having hundreds of connection strings may cause performance degradation.",,
"RIP-1999","Unknown",,"24.1.1.1000","Application Server","Resolved a condition where a benign ""invalid value"" warning would be logged.",,
"CSFMD-1990","Unknown",,"24.1.1.1000","AutoFill Keysets","Unity Client tab order updated for External Autofill Expansion","Tabbing after performing an External Autofill Expansion successfully targets the next expected keyword in the Keyword Panel",
"CSFMD-2655","Unknown",,"24.1.1.1000","AutoFill Keysets","AutoFill Keyword Sets using Unity Scripts issues addressed.","Fixed an issue where AutoFill Keyword Set using a Unity Script was not populating keywords in the core clients. ",
"SBPPA-5877","Unknown",,"24.1.1.1000","Configuration","Corrected an issue causing Configuration to crash when generating reports.","Configuration will no longer crash if a Configuration Report is assigned to a Workflow lifecycle, but the database does not have a valid Workflow licensee.",
"REN-2753","Unknown",,"24.1.1.1000","Core Services - Rendering","Fillable PDFs that are created via PDFSharp are having the fillable data removed when converted from PDF to Image File Format","Code changes were made. Fillable PDFs that are created via PDFSharp contain the fillable data when converted from PDF to Image File Format.",
"REN-2772","Unknown",,"24.1.1.1000","Core Services - Rendering","Resolved an issue with rows in 100% width tables that are cut off towards the end of the PDF document converted from HTML","Updated the code to allow HTML documents with tables spanning 100% width and height render PDF document which was converted from HTML .",
"HC-179483","Unknown",,"24.1.1.1000","Deficiency Pop","An issue has been corrected that was preventing Signature Deficiencies placed on the right edge of a document from being automatically rotated 90 degrees.","An issue has been corrected that was preventing Signature Deficiencies placed on the right edge of a document from being automatically rotated 90 degrees.  This affected the Analysis layout in DeficiencyPop.",
"HC-194170","Unknown",,"24.1.1.1000","Deficiency Pop","Certain viewer options will now be disabled by default","Viewer options that are known to be non-functional in DeficiencyPop are now disabled by default. These viewer options appear when a user right-clicks on a document and are: ""Keywords,"" ""Re-index,"" ""Send To | File,"" ""Send To | Create New Document,"" and ""Workflow | Execute Workflow.""",
"OBCA-21","Unknown",,"24.1.1.1000","Directory Service Authentication","Resolved issue when a user logs into a core client but into 2 or more domains, one domain will fail to authenticate after an initial account creation where the account in the first domain works every time","Resolved issue when a user logs into a core client but into 2 or more domains, one domain will fail to authenticate after an initial account creation where the account in the first domain works every time.

Updated the code to allow a user logs into a core client but into 2 or more domains. ",
"SBPPA-5881","Unknown",,"24.1.1.1000","Document Composition","Corrected an issue editing a property placeholder within a Document Composition template.","When editing the property placeholder after creation, the placeholder is now selectable.",
"SBPPA-6889","Unknown",,"24.1.1.1000","Document Composition","Corrected an issue with hyperlinks contained in a Document Composition template.","Corrected an issue where hyperlinks contained in a table within a composed document from Document Composition would direct the user to the incorrect destination.",
"SBPPA-10723","Unknown",,"24.1.1.1000","Document Composition","Fixed an issue within Web Client where Workflow property value was not getting populated when using scoped property bag.","Users are now able to select a Workflow property value within the Document Composition when using scoped property bag in the Web Client.",
"SBPPA-10727","Unknown",,"24.1.1.1000","Document Composition","Fixed an issue when attempting to compose document with templates having anchored images or embedded Excel table.","Users are now able to compose documents with anchored images or embedded Excel tables.",
"PACK-8324","Unknown",,"24.1.1.1000","Document Packaging","Package generation from Workflow now does not display the date range selection overriding the display content selection window to false.","When a package is automatically generated from Workflow in the Unity Client, while from OnBase Studio, the Display Content Selection Window is set to false (unchecked), and the Date range (Display Content Selection) is set to true (checked) in the template from OnBase configuration, then the Date Range dialog does not show up.",
"PACK-8325","Unknown",,"24.1.1.1000","Document Packaging","FIX: In Document Packaging in the Web Client, when unchecking the Other Documents document set, NOW, it will uncheck all documents that belong to it","Manually (newly) added documents to a template or non-template package in the Web Client, belong to the “Other Documents” document set. When unchecking the box for the Other Documents document set in the dropdown, it continues to uncheck all documents that belong to it. No exception is thrown in the console in the browser any longer while unchecking or checking any document from any document set. This holds true even when the package is generated from Wrokflow action.",
"REN-2775","Unknown",,"24.1.1.1000","Document Separation","Resolved issue when attempting to split jpeg documents within Document Separation (ad hoc or scan queue) in Unity Client. The new document(s) are converted to tiff and the file size on disk is inflated once saved.","Update the code to allow split jpeg documents within Document Separation (ad hoc or scan queue) in Unity Client. The new document(s) retain the original document’s file type and size.",
"HC-199461","Unknown",,"24.1.1.1000","Epic Integration Scanning","Resolved an innocuous error that would be logged when importing non-medical record documents that were associated with the Medical Records Custom Query.","This change resolved an object reference error that would be logged on the Application Server when uploading documents via Scan Acquistion Server. This only occurred when uploading documents indexed to a document type that was associated with the Medical Records Custom Query. This was an innocuous error - no issues actually occurred with the upload or the indexing of the imported document. ",
"HC-180692","Unknown",,"24.1.1.1000","FHIR","Corrected issue with FHIR Endpoint Resource Operation configuration dialogs in the OnBase Configuration Client.","Resolved an issue with the Mappings button for FHIR Endpoint Resource Operations becoming enabled for Operations that do not support Mappings.",
"HC-167818","Unknown",,"24.1.1.1000","FHIR","Improved accuracy of Document History logging for FHIR/Web Blob Pass-Through document updates.","When updating a document through FHIR/Web Blob Pass-Through, the Document History will now only log that a document was retrieved if the FHIR update request includes a return preference of representation, which indicates that the system sending the update is requesting the binary data for viewing after the update is complete. Prior to this change, FHIR document update requests always logged a Document Retrieval in the Document History, even if the update request did not include a return preference of representation.",
"DIAN-1946","Unknown",,"24.1.1.1000","Full-Text Search","Resolved a condition in Full-Text Search where indexing performance may be degraded for catalogs with many large documents.",,
"DIAN-1863","Unknown",,"24.1.1.1000","Full-Text Search","Non-UTF8 encoded documents are now properly returned when executing a full-text search whether they are OCR'd or not.","Non-UTF8 not OCR'd encoded documents (i.e. Big5) previously weren't returned in full-text search results. All day-forward indexed documents will now be returned in search results. All previously indexed non-UTF8 encoded documents that were not OCR'd will need to be re-indexed to be properly returned in search results.",
"DIAN-1951","Unknown",,"24.1.1.1000","Full-Text Search","Resolved a condition for when performance issues may arise when cleaning up orphaned catalogdocs database entries when tables contain millions of rows.","The task to remove orphaned catalogdocs database entries has been moved to the Unity Scheduler. By default, it is scheduled to run every Sunday at 2:15 A.M. This schedule can be configured when configuring Unity Scheduler tasks.",
"HC-193807","Unknown",,"24.1.1.1000","Healthcare Web Viewer","Removed sessionTimeout configuration from the Healthcare Web Viewer.","This is a breaking change from previous versions of OnBase. The sessionTimeout attribute in the Hyland.Web.HealthcareWebViewer element in the Web Server web.config file is no longer used and has been removed. The timeout attribute in the sessionState element is used instead. If the sessionTimeout attribute is present, i.e., it was copied into the Web Server web.config from a previous session of OnBase, an exception will occur and the Healthcare Web Viewer will fail to load.

This was done to improve stability of the timeout functionality, particularly when Web Server or User Group Timeouts were also configured that were shorter than the Healthcare Web Viewer sessionTimeout. Prior to this fix, a shorter Web Server or User Group Timeout could be configured, and a user's session would be ended according to the timeout configuration, but the user was never notified of their session ending or prompted to extend their session. This could result in thumbnails failing to load (red X being displayed instead) and other actions on the document failing, such as attempting to view keywords, save page rotations, etc. ",
"HC-172128","Unknown",,"24.1.1.1000","HL7","Resolved issues with configuring a blank Destination Network Address for HL7 Export Destinations.","The Export Destinations configuration dialog will no longer accept blank Destination Network Address values. Additionally, in systems that already have a misconfigured Export Destination prior to upgrading, the HL7 Sender will no longer start if a blank Destination Network Address value detected. If this occurs, an error will be written to the HL7 Sender verbose logs: '""Host"" does not contain a valid value.'",
"HC-191487","Unknown",,"24.1.1.1000","HL7","Corrected issue with the HL7 Sender not logging acknowledgements.","The HL7 Sender now correctly logs received acknowledgements to the export destination log file and/or the configured Document Type for sent messages.",
"HC-196156","Unknown",,"24.1.1.1000","HL7","Resolves a possible race condition in the HL7 Back-end Job Processor. ","Resolves a possible race condition in the HL7 Back-end Job Processor which can cause the Unity Scheduler Task to end up in an Error status.",
"SBPOF-479","Unknown",,"24.1.1.1000","Image Forms","Resolved the bug where Signatures were not getting displayed for Image Forms having a PDF Rendition.","Users will now be able to see Signatures for Image Forms with PDF Rendition.",
"SIG-634","Unknown",,"24.1.1.1000","Integration for DocuSign","Declined envelopes will now be moved to the Completed envelopes list.","When the status of the envelope is polled and returns with the status of Declined or Deleted, the envelope will be moved to the Completed Envelopes list in the DocuSign Administration portion of the Unity Client.",
"HC-191363","Unknown",,"24.1.1.1000","Integration for Epic","Resolved an issue that caused a misleading error message to appear in Epic if the Healthcare Web Viewer was closed before the document was fully loaded.","Prior to this fix, if the Healthcare Web Viewer was closed prior to the document being fully loaded, the following error message could appear in Epic Hyperdrive: ""An error occurred when attempting to display the viewer: The external system has indicated a document displaying failure"". ",
"OI-322","Unknown",,"24.1.1.1000","Integration for Microsoft Outlook","Fixed a document name refresh issue in the Import task pane when importing multiple emails or attachments. ","The document name now updates in the Import task pane when importing multiple emails or attachments. ",
"SBPPA-5790","Unknown",,"24.1.1.1000","Keywords","The end user is no longer able to view keywords on a document restricted by security keywords","When the ""Perform security keyword checking during database query"" database setting is disabled and the end user retrieves a document restricted by security keywords, the user will no longer be able to view keywords for this document.",
"OBLIC-251","Unknown",,"24.1.1.1000","Licensing","License sharing fix","Fixed an issue with license sharing that could result in a shared license being released prematurely, potentially causing downstream licensing errors.",
"AG-8148","Unknown",,"24.1.1.1000","Minutes","Fixed an error in Minutes when connection to the appserver is lost.","Instead of throwing an error and forcing you to exit the application when connection to the appserver is lost, we now have the option to attempt a reconnect to the appserver in the minutes client. assuming a reconnection is possible the minutes client will pickup right where it left off, minimizing interruption.",
"IND-2807","Unknown",,"24.1.1.1000","Notes/Annotations","Notes word wrap restored","An issue was introduced where Notes were no longer word wrapping text and expanding well beyond the original bounds. This has been rectified.",
"OBAPPS-656","Unknown",,"24.1.1.1000","OnBase Apps","Fixed an issue with creating multiple Unity Forms via an action on Safari","When using a Create Unity Form Action and submitting a form, the option “Would you like to complete another form?” appears. If “No” is selected, this closes the window. If “Yes” was selected, on Safari, the user was navigated away from the form back to the first screen with a “Back” arrow above the Toolbar Component.
When prompted to create another form, the action now works as expected.",
"OBAPPS-631","Unknown",,"24.1.1.1000","OnBase Apps","Improved contrast for the WorkView Client and OnBase Apps when using Dark Mode.",,
"OBAPPS-598","Unknown",,"24.1.1.1000","OnBase Apps","Fixed Defect: Issue with System Name Unique Validation Across Multiple Applications","The issue was encountered when multiple applications shared the same component System Names, affecting Screens, Sources, Cards, and Actions. While creating applications in the same session, the System Name unique validation worked correctly. However, after closing and reopening the repository, the System Name unique validation failed to work as expected, allowing duplicate System Names to be created across different applications.
This issue was fixed.",
"OBAPPS-600","Unknown",,"24.1.1.1000","OnBase Apps","Fixed: “Next” button is disabled when filling out System Name before Label in Source Groups, Cards, Actions, and Tiles","The issue was observed while creating a Source Group, Card, Actions, or Tile. If the System Name field was filled out before the Label field, the “Next” button remained disabled, preventing the user from proceeding. However, if the Label was filled out first, the “Next” button was enabled and remained so even after modifying the System Name.
This issue was fixed.",
"OBAPPS-769","Unknown",,"24.1.1.1000","OnBase Apps","FIXED: Deleted Unity Forms can be configured for the Create Unity Form action","Deleted Unity Forms can no longer be selected when configuring a Create Unity Form action.",
"OBAPPS-789","Unknown",,"24.1.1.1000","OnBase Apps","FIXED: Counts for a Workflow source do not respect filters applied to the queue.","Fixed an issue where the counts for a Workflow source would not take into account filters applied to the Workflow queue.",
